row_index,sam_name,PCE（%）_True,PCE（%）_Pred_Mu,PCE（%）_Pred_Sigma,VOC（V）_True,VOC（V）_Pred_Mu,VOC（V）_Pred_Sigma,JSC(mA·cm⁻²)_True,JSC(mA·cm⁻²)_Pred_Mu,JSC(mA·cm⁻²)_Pred_Sigma,FF_True,FF_Pred_Mu,FF_Pred_Sigma
15,H8-SAM,1.81,3.337390654997273,0.24345940977615257,0.48,0.7253831152776452,0.0190849505877702,8.29,16.331414506730205,0.3689686267542674,0.45,0.5172322801484828,0.006542335761582752
62,4Cl-PACz,16.8,16.93275366992637,0.7168332750585983,0.85,0.8511199193826208,0.008285992866192582,25.2,27.381604890722564,0.36034159171359414,0.783,0.7594017622531902,0.0034958550358192733
63,4Cl-PACz,18.2,15.871105693672048,0.5598416736948771,0.9,0.8849643784726737,0.009653817172109154,25.6,26.740737376522475,0.42420964421292334,0.788,0.7580176858018379,0.009218346492767412
126,Ph-2PACz,18.54,18.669303131582396,0.07857051814841506,0.887,0.8624509800687664,0.007723791858415376,26.68,26.99875337048598,0.2629770243146833,0.784,0.7842183744775626,0.0091198860660723
310,2PACz-D1,17.05,18.44049474681094,0.508600225961077,0.853,0.8770618737213159,0.00880221370860441,25.64,27.006181430417712,0.4521655004729996,0.779,0.7934834666585019,0.010068949219298906
338,4Cl-PACz,16.8,18.380716150006254,0.38092936563974916,0.85,0.8519849057747277,0.00903818694008831,25.2,27.50620435910755,0.2216800967549875,0.783,0.7796258909033199,0.00493141737807081
339,4Cl-PACz,18.2,17.529641902290244,0.2766390642274668,0.9,0.887135507457645,0.010211727599582165,25.6,27.056437808059687,0.2767757044841899,0.788,0.8046113011946415,0.00580940282689798
365,Br-2PACz_HPWO,19.1,17.34003297162523,0.44174402816879954,0.869,0.8758769285320704,0.0024619300410388166,28.2,26.31147550702722,0.3881962124613332,0.775,0.7544569041642654,0.008621073299444311
366,Br-2PACz_HPWO,18.9,17.34003297162523,0.44174402816879954,0.871,0.8758769285320704,0.0024619300410388166,28.0,26.31147550702722,0.3881962124613332,0.774,0.7544569041642654,0.008621073299444311
367,Br-2PACz_HPWO,16.49,17.49974138676336,0.9362666219104396,0.85,0.865961880551131,0.009405612554567514,26.12,27.13599255292885,0.2780694562869195,0.7426,0.7622339970405587,0.014203772824784073
368,Br-2PACz_HPWO,16.11,17.49974138676336,0.9362666219104396,0.861,0.865961880551131,0.009405612554567514,25.17,27.13599255292885,0.2780694562869195,0.7436,0.7622339970405587,0.014203772824784073
