seed,qwen_ngboost_pce_r2,qwen_ngboost_mean_r2,baseline_xgb_pce_r2,baseline_xgb_mean_r2
1,0.8585,0.7822,0.7586726915504157,0.6029933806537027
2,0.8452,0.7888,0.7310291967626146,0.5498572638122131
3,0.9182,0.9176,0.8474418321648703,0.7268758097752395
4,0.9137,0.8049,0.8202170795853215,0.6332240183534932
5,0.8504,0.8855,0.7573062811005133,0.6249431852812973
6,0.874,0.8166,0.785241798494994,0.6281364476245099
7,0.9154,0.7928,0.7804361785717412,0.618522641265022
8,0.9285,0.8655,0.7981520044303589,0.6623984497483819
9,0.8947,0.8634,0.8458605300056976,0.6843620579284558
10,0.8907,0.8103,0.8271254863335338,0.6480982718638921
11,0.9115,0.8877,0.8382462016030916,0.6988688130205445
12,0.9363,0.807,0.8459206372233969,0.6337149832587169
13,0.9347,0.8899,0.7717181851216159,0.6725994059963043
14,0.9381,0.9198,0.8451821185658552,0.7143916845168087
15,0.903,0.7822,0.8095214782947939,0.622036475997302
16,0.8649,0.8418,0.8208299137972179,0.7071361477401275
17,0.9253,0.8648,0.82489941017312,0.663541794230308
18,0.9069,0.7798,0.8711389831336298,0.7197553346596652
19,0.9097,0.8178,0.8039603886010228,0.691951461208203
20,0.9381,0.8687,0.8344905586348113,0.6891380949847218
21,0.9054,0.8443,0.8732073211687261,0.7112015243195615
22,0.8573,0.8763,0.8056619913613474,0.6917394917579139
23,0.9381,0.8477,0.8890181867637492,0.7679428828893882
24,0.884,0.8665,0.8180047473802797,0.7155066212662105
25,0.8767,0.8434,0.8078216588780619,0.6598436346385017
26,0.8318,0.7798,0.7154079762102739,0.5305731918788416
27,0.8146,0.7798,0.7148721591719168,0.6074887029597773
28,0.9043,0.9198,0.8318365980667571,0.7016211224568876
29,0.9381,0.911,0.8677606947408512,0.7625560991981722
30,0.9128,0.8676,0.8399982420408033,0.7071579008509383
31,0.8254,0.8184,0.7531187990540602,0.6450039203388686
32,0.9381,0.9185,0.8609442749988789,0.7128765297112734
33,0.8969,0.8466,0.8726873310940739,0.7090167764569283
34,0.8419,0.801,0.70958434942629,0.5886756305646379
35,0.9335,0.8776,0.8827840386160034,0.6991974035542525
36,0.9253,0.9072,0.8297583543990719,0.6941115260795439
37,0.8297,0.7798,0.8737503643244329,0.6914894904190225
38,0.9069,0.8909,0.8024143120643812,0.6808775148476521
39,0.8306,0.7802,0.7739144133573458,0.5923083954675358
40,0.8696,0.7921,0.7472208649178957,0.6000612184454253
41,0.9104,0.8823,0.8043429939980667,0.6473423483130019
42,0.9155,0.9155,0.8161439124626853,0.7199077391584787
43,0.8315,0.8436,0.7341158388994087,0.6114708068468498
44,0.9381,0.8691,0.8024242988736257,0.7269276153464372
45,0.9036,0.8765,0.7684466900818666,0.6195081419970209
46,0.84,0.8762,0.7950448661196681,0.6450907112583835
47,0.894,0.7798,0.8064859171199631,0.6808577706112123
48,0.8979,0.8855,0.7815837141355151,0.6578320342272386
49,0.9381,0.8362,0.802603842034004,0.6494390144319343
50,0.8669,0.7798,0.7690986144925709,0.606729314938065
